Company,Category,FileYear,FilenameYears,File,Filename,ValidPdf,Pages,Title,YearsInFirstPages,FirstText,SizeBytes,SizeMB,Error,Path
JNJ,ESG / Sustainability,2023,2023,JNJ\JNJ_ESG_2023.pdf,JNJ_ESG_2023.pdf,True,72,,2023,"2023 Health for Humanity Report The Health Care Company Arti Gajanan Modshe, a student in the Indian Red Cross Society Auxiliary Nurses and Midwives (ANM) Training Program, supported by the Johnson & Johnson Foundation, puts her training to work in a home visit in rural India Our approach Scientists at work at a J&J Innovative Medicine laboratory in China",80736114,77.0,,C:\Users\Jhj\Downloads\esg_reports\JNJ\JNJ_ESG_2023.pdf
JNJ,ESG / Sustainability,2024,2024,JNJ\JNJ_ESG_2024.pdf,JNJ_ESG_2024.pdf,True,55,,2024,"2024 Health for Humanity Report A Johnson & Johnson associate works with a mini-bioreactor. 2 2024 Health for Humanity Report Contents AI Artificial intelligence CHW Community health worker ESG Environmental, social and governance FDA U.S. Food and Drug Administration GHG Greenhouse gas or gases HCP Healthcare professional LMICs Low- and middle-income countries WHO World Health Organization Please find below a glossa",22280328,21.25,,C:\Users\Jhj\Downloads\esg_reports\JNJ\JNJ_ESG_2024.pdf
JPM,ESG / Sustainability,2022,2022,JPM\JPM_ESG_2022.pdf,JPM_ESG_2022.pdf,True,74,2022 Environmental Social Governance Report,2022,2022 Environmental Social Governance Report Contents Introduction 1 Message from Our Chairman 2 Company at a Glance 3 Our Approach to ESG 5 Feat ure: $2.5T Sustainable Development Target 6 Environment 11 Our Approach to Environmental Sustainability 12 Scaling Green Solutions 13 Meeting Needs Responsibly 17 Minimizing Our Operational Impact 18 So cial 24 Fe ature: Our Racial Equity Commitment 25 Inclusive Growth 30 Di,7474626,7.13,,C:\Users\Jhj\Downloads\esg_reports\JPM\JPM_ESG_2022.pdf
JPM,ESG / Sustainability,2023,2023,JPM\JPM_ESG_2023.pdf,JPM_ESG_2023.pdf,True,88,2023 Environmental Social Governance Report,2023,"2023 Environmental Social Governance Report We believe in free enterprise. Notes A NOTE ON OUR BUSINESS We don’t “boycott.” A NOTE ON OUR TARGETS JPMorgan Chase & Co. provides fnancial services for individuals and industries across geographies — regardless of political, social or religious viewpoints. We deal in facts and don’t describe our policies, procedures or progress diferently based on who’s asking. Our ambiti",7143472,6.81,,C:\Users\Jhj\Downloads\esg_reports\JPM\JPM_ESG_2023.pdf
JPM,ESG / Sustainability,2024,2024,JPM\JPM_ESG_2024.pdf,JPM_ESG_2024.pdf,True,66,2024 Sustainability Report,2024,"Sustainability Report 2024 Governance 42 Oversight and management of Environmental, Social and Governance related matters 43 Business ethics 44 Accountability, transparency and engagement 46 Risk management 49 Managing climate risks 50 Managing nature and social risks 57 Managing financial crime and corruption risks 58 Cybersecurity and data privacy 58 Appendices 60 Restricted activities, and client activities and lo",9382251,8.95,,C:\Users\Jhj\Downloads\esg_reports\JPM\JPM_ESG_2024.pdf
MS,ESG / Sustainability,2022,2022,MS\MS_ESG_2022.pdf,MS_ESG_2022.pdf,True,115,,2022,"2022 ESG Report: Diversity & Inclusion, Climate, and Sustainability 3 From Our CEO 4 Introduction 5 Our Business 6 About This Report 7 Approach to ESG 8 ESG Governance 11 2022 ESG Highlights 13 People and Culture 14 Our Culture 16 Benefits and Wellbeing 18 Our Compensation Practices 20 Supporting Communities Where We Live and Work 23 Diversity and Inclusion 24 Leadership Statement and D&I Strategy 26 Workforce 32 Soc",15179911,14.48,,C:\Users\Jhj\Downloads\esg_reports\MS\MS_ESG_2022.pdf
MS,ESG / Sustainability,2023,2023,MS\MS_ESG_2023.pdf,MS_ESG_2023.pdf,True,93,,2023,2023 ESG Report TABLE OF CONTENTS 3 From Our CEO 4 Introduction 4 Our Business 5 About This Report 6 Our Approach to ESG 7 2023 ESG Highlights 8 Sustainable Finance 8 Sustainable Finance Target 11 Institutional Securities 15 Wealth Management 20 Investment Management 24 Community Development Finance 26 Inclusive Ventures Lab 27 Institute for Sustainable Investing 28 Human Capital 28 Introduction 29 Building Our Workf,9589979,9.15,,C:\Users\Jhj\Downloads\esg_reports\MS\MS_ESG_2023.pdf
MS,ESG / Sustainability,2024,2024,MS\MS_ESG_2024.pdf,MS_ESG_2024.pdf,True,68,,2024,2024 Sustainability Report TABLE OF CONTENTS 3 Introduction 3 Our Business 4 About This Report 5 The Integrated Firm 6 Our Approach to Sustainability 8 2024 Sustainability Highlights 9 Sustainable Finance 9 Sustainable Finance Target 13 Institutional Securities 16 Wealth Management 19 Investment Management 21 Our Workforce 22 Building Our Workforce 22 Developing Our Workforce 22 Investing in Our Workforce 23 Climate ,11649323,11.11,,C:\Users\Jhj\Downloads\esg_reports\MS\MS_ESG_2024.pdf
MSFT,ESG / Sustainability,2022,2022,MSFT\MSFT_ESG_2022.pdf,MSFT_ESG_2022.pdf,True,81,2022 Environmental Sustainability Report,2022,"2022 Environmental Sustainability Report Enabling sustainability for our company, our customers, and the world Color Palette Names are TBC Contents Overview Foreword 4 2022 progress 7 How we work 8 About this report 9 Microsoft sustainability Carbon Our approach 11 Reducing Scope 1 and 2 emissions 15 Reducing Scope 3 emissions 17 Transitioning to carbon-free energy 20 Removing carbon 22 Key trends and what’s next 24 ",17917999,17.09,,C:\Users\Jhj\Downloads\esg_reports\MSFT\MSFT_ESG_2022.pdf
MSFT,ESG / Sustainability,2023,2023,MSFT\MSFT_ESG_2023.pdf,MSFT_ESG_2023.pdf,True,23,2024 Environmental Sustainability Report Data Fact Sheet,2023;2024,"How can we advance sustainability? 2024 Environmental Sustainability Report Data Fact Sheet Reporting on our 2023 fiscal year Environmental Data Fact Sheet 2024 02 Our environmental data As part of Microsoft’s commitment to disclose information about our environmental footprint, the following sections are a compilation of environmental metrics across greenhouse gas (GHG) emissions, energy, water, waste and circularit",1983746,1.89,,C:\Users\Jhj\Downloads\esg_reports\MSFT\MSFT_ESG_2023.pdf
MSFT,ESG / Sustainability,2024,2024,MSFT\MSFT_ESG_2024.pdf,MSFT_ESG_2024.pdf,True,88,2024 Environmental Sustainability Report,2023;2024,"How can we advance sustainability? 2024 Environmental Sustainability Report Reporting on our 2023 fiscal year Overview Microsoft sustainability Customer sustainability Global sustainability Appendix 02 In this report Overview Foreword 04 2023 highlights 07 How we work 08 Cover captured by: Finnian Power Regional CE Program Manager, Ireland Microsoft sustainability Carbon Waste Our approach 10 Our approach 35 Improvin",20024685,19.1,,C:\Users\Jhj\Downloads\esg_reports\MSFT\MSFT_ESG_2024.pdf
MSFT,ESG / Sustainability,2025,2025,MSFT\MSFT_ESG_2025.pdf,MSFT_ESG_2025.pdf,True,90,2025 Microsoft Environmental Sustainability Report,2024;2025;2030,"2025 Environmental Sustainability Report Accelerating progress to 2030 Reporting on our 2024 fiscal year Overview Microsoft sustainability Carbon Water Waste Ecosystems Customer sustainability Global sustainability Appendix 2025 Environmental Sustainability Report 2 In this report This year, we reflect on our progress towards our ambitious 2030 goals: to be carbon negative, water positive, and zero waste, while prote",20773620,19.81,,C:\Users\Jhj\Downloads\esg_reports\MSFT\MSFT_ESG_2025.pdf
NEE,ESG / Sustainability,2022,2022,NEE\NEE_ESG_2022.pdf,NEE_ESG_2022.pdf,True,74,,2022,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2022 2 CONTENTS Vision and strategy: A letter from our chairman, president and CEO ..................3 NextEra Energy’s blueprint to reach Real Zero™ ................5 About this report ..................................................................8 Confronting climate change ................................................9 NextEra Energy’s environmental, social and go",10062562,9.6,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2022.pdf
NEE,ESG / Sustainability,2023,2023,NEE\NEE_ESG_2023.pdf,NEE_ESG_2023.pdf,True,71,,2023,Sustainability Report 2023 3 A letter from our chairman and CEO 5 About this report 7 NextEra Energy: a clean energy leader » Company snapshot » Our companies » Our portfolio » Our clean energy journey » Our commitment to our Real Zero goal » Our emerging clean technologies » Our transmission infrastructure investments 14 Environmental stewardship » Managing and mitigating environmental risk » Reducing our carbon emi,23330843,22.25,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2023.pdf
NEE,ESG / Sustainability,2024,2024,NEE\NEE_ESG_2024.pdf,NEE_ESG_2024.pdf,True,72,,2023;2024,"Sustainability Report 2024 45 Risks and opportunities » Storms, floods and other natural disasters » Emergency preparedness » Nuclear safety » Cybersecurity 52 Awards and recognitions » 2024 » 2023 54 Conclusion 56 Appendix A » Sustainability Accounting Standards Board Metrics 61 Appendix B » Task Force on Climate-Related Financial Disclosures 64 Appendix C » Edison Electric Institute ESG/Sustainability Quantitative ",12160970,11.6,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2024.pdf
NEE,2024 Emissions Data Assurance,2025,2025;2024,NEE\NEE_ESG_2025_2024_Emissions_Data_Assurance.pdf,NEE_ESG_2025_2024_Emissions_Data_Assurance.pdf,True,5,Microsoft Word - NextEra CY2024_Verification Opinion_v1-TR,2024,"DCN 575_Version 2.0 6.12.23 1 NextEra Energy, Inc CY2024 GHG Inventory - Verification Opinion Verification Opinion NextEra Energy, Inc CY2024 GHG Inventory Background Cameron-Cole, LLC (Cameron-Cole) was retained by NextEra Energy, Inc (NextEra) to perform an independent verification of its Greenhouse Gas (GHG) Emissions Inventory (GHG Statement) for Calendar Year (CY) 2024 and NextEra GHG emissions rate (lbs of CO2 ",434049,0.41,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2025_2024_Emissions_Data_Assurance.pdf
NEE,CDP Section 7,2025,2025,NEE\NEE_ESG_2025_CDP_Section_7.pdf,NEE_ESG_2025_CDP_Section_7.pdf,True,50,,2025;2026,"04/10/2026, 01:50 pm NextEra Energy, Inc. 2025 CDP Corporate Questionnaire 2025 Word version Important: this export excludes unanswered questions This document is an export of your organization’s CDP questionnaire response. It contains all data points for questions that are answered or in progress. There may be questions or data points that you have been requested to provide, which are missing from this document beca",329148,0.31,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2025_CDP_Section_7.pdf
NEE,Data Appendix,2025,2025,NEE\NEE_ESG_2025_Data_Appendix.pdf,NEE_ESG_2025_Data_Appendix.pdf,True,12,,2023;2024,"Appendix Appendix A Sustainability Accounting Standards Board (SASB) Metrics SASB topic SASB accounting metric 2023 2024 Comments Greenhouse gas emissions and energy resource planning 1. Gross global scope 1 emissions 2. Percentage covered under emissions- limiting regulations 3. Percentage covered under emissions- reporting regulations 1. 41,323,533 metric tons carbon dioxide equivalent (CO 2e) 2. 0.21% 3. 100% 1. 4",334233,0.32,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2025_Data_Appendix.pdf
NEE,Employees Customers and Communities,2025,2025,NEE\NEE_ESG_2025_Employees_Customers_and_Communities.pdf,NEE_ESG_2025_Employees_Customers_and_Communities.pdf,True,4,,,"Sustainability Resource: Employees, Customers and Communities NextEra Energy recognizes that the company’s success is connected to the strength of the company’s relationships with its employees, its customers and the communities it serves. NextEra Energy’s commitment to fostering a workplace that attracts and retains exceptional talent, coupled with its dedication to supporting the economic and social well-being of l",102197,0.1,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2025_Employees_Customers_and_Communities.pdf
NEE,Environmental Stewardship,2025,2025,NEE\NEE_ESG_2025_Environmental_Stewardship.pdf,NEE_ESG_2025_Environmental_Stewardship.pdf,True,3,,,"Sustainability Resource: Environmental Stewardship NextEra Energy delivers reliable, low-cost energy that meets the needs of the customers and communities it serves, while safeguarding natural resources and acting as responsible stewards of the environment. To that end, NextEra Energy employees integrate environmental stewardship into daily operations, from deploying advanced environmental monitoring systems to devel",98585,0.09,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2025_Environmental_Stewardship.pdf
NEE,Governance,2025,2025,NEE\NEE_ESG_2025_Governance.pdf,NEE_ESG_2025_Governance.pdf,True,3,,,"Sustainability Resource: Governance NextEra Energy has a proven track record of delivering strong financial and operational performance—it’s built on a foundation of sound corporate governance and oversight. The company’s board of directors is led by the executive chairman with support from an independent lead director. The board has a broad range of skills, industry knowledge and specialized experience. Together, th",88744,0.08,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2025_Governance.pdf
NEE,Risk Management,2025,2025,NEE\NEE_ESG_2025_Risk_Management.pdf,NEE_ESG_2025_Risk_Management.pdf,True,4,,,Sustainability Resource: Risk Management NextEra Energy (the “company”) is committed to safeguarding power networks and information from intrusions that could cause harm to the company’s customers or operations. NextEra Energy’s enterprise risk management team provides oversight and support for the company’s risk management activities and supports the corporate risk committee. The committee consists of officers and k,99282,0.09,,C:\Users\Jhj\Downloads\esg_reports\NEE\NEE_ESG_2025_Risk_Management.pdf
NVDA,ESG / Sustainability,2022,2022,NVDA\NVDA_ESG_2022.pdf,NVDA_ESG_2022.pdf,True,69,NVIDIA 2022 Corporate Responsibility Report,2022,"2022 NVIDIA CORPORATION CORPORATE RESPONSIBILITY REPORT 2022 NVIDIA CORPORATE RESPONSIBILITY REPORT 1 01 MESSAGE FROM OUR CEO 2 02 CORPORATE RESPONSIBILITY OVERVIEW 5 03 STAKEHOLDER ENGAGEMENT 7 04 OUR PEOPLE, DIVERSITY AND INCLUSION 11 05 INNOVATION AND BUSINESS MODEL 24 06 CYBERSECURITY AND DATA PRIVACY 33 07 SUPPLY CHAIN MANAGEMENT 35 08 SOCIETAL IMPACTS OF AI 41 09 ENVIRONMENTAL INITIATIVES AND PARTNERSHIPS 46 10",2337681,2.23,,C:\Users\Jhj\Downloads\esg_reports\NVDA\NVDA_ESG_2022.pdf
NVDA,ESG / Sustainability,2023,2023,NVDA\NVDA_ESG_2023.pdf,NVDA_ESG_2023.pdf,True,59,NVIDIA Corporate Responsibility Report Fiscal Year 2023,2023,"NVIDIA Corporate Responsibility Report Fiscal Year 2023 Table of Contents Message From Our CEO Introduction About NVIDIA 05 Our Code and Values 06 Corporate Responsibility Management 08 Stakeholder Engagement 09 Business Practices Business Continuity 11 Human Rights 11 Cybersecurity 13 Data Privacy 13 Product Security 14 Product Quality and Safety 14 Customer Relations 15 Trade Issues 15 People, Diversity and Inclusi",7801470,7.44,,C:\Users\Jhj\Downloads\esg_reports\NVDA\NVDA_ESG_2023.pdf
NVDA,ESG / Sustainability,2024,2024,NVDA\NVDA_ESG_2024.pdf,NVDA_ESG_2024.pdf,True,41,NVIDIA Sustainability Report Fiscal Year 2024,2024,"NVIDIA Sustainability Report Fiscal Year 2024 Table of Contents Message From Our CEO Introduction FY24 Highlights 06 About NVIDIA 07 Sustainability Governance 07 Societal Impact 08 Climate and Efficiency Product Energy Efficiency 10 Greenhouse Gas Emissions 11 Energy and Environment 12 People, Diversity and Inclusion Recruitment 14 Benefits and Compensation 15 Pay and Promotion 15 Engagement and Retention 16 Learning",4639165,4.42,,C:\Users\Jhj\Downloads\esg_reports\NVDA\NVDA_ESG_2024.pdf
NVDA,ESG / Sustainability,2025,2025,NVDA\NVDA_ESG_2025.pdf,NVDA_ESG_2025.pdf,True,40,NVIDIA Sustainability Report Fiscal Year 2025,2025,"NVIDIA Sustainability Report Fiscal Year 2025 Table of Contents Message From Our CEO Introduction FY25 Highlights 06 About NVIDIA 07 Sustainability Governance 08 Our Impact 08 Energy, Efficiency, and Climate Product Energy Efficiency 10 Greenhouse Gas Emissions 11 Energy and Environment 12 People, Diversity, and Inclusion Recruitment 14 Benefits and Compensation 15 Pay and Promotion 15 Engagement and Retention 16 Lea",5443021,5.19,,C:\Users\Jhj\Downloads\esg_reports\NVDA\NVDA_ESG_2025.pdf
PFE,ESG / Sustainability,2022,2022,PFE\PFE_ESG_2022.pdf,PFE_ESG_2022.pdf,True,83,,2022,"Environmental, Social & Governance Report Pfizer 2022 Pfizer 2022 ESG Report 2 In This Report Introduction A Letter from our Chairman & CEO A Letter from Our Lead Independent Director 2022 Progress and Highlights Our Approach to ESG Priority ESG Issues Impact Stories Tackling the Health Equity Gap Together Keeping Patients at the Center of Everything We Do Environment Climate Change Sustainable Medicines Social Innov",10637557,10.14,,C:\Users\Jhj\Downloads\esg_reports\PFE\PFE_ESG_2022.pdf
PFE,ESG / Sustainability,2023,2023,PFE\PFE_ESG_2023.pdf,PFE_ESG_2023.pdf,True,42,,2023,"Pfizer 2023 Impact Report Introduction Governance SocialEnvironment AppendixESG Performance Measuring and reporting our ESG performance is key to understanding the impact of our operations, driving continuous improvement, and maintaining a transparent dialogue with our stakeholders. We are committed to improving our ESG performance because it is crucial to our long- term success as a responsible business and is essen",1252055,1.19,,C:\Users\Jhj\Downloads\esg_reports\PFE\PFE_ESG_2023.pdf
PFE,ESG / Sustainability,2024,2024,PFE\PFE_ESG_2024.pdf,PFE_ESG_2024.pdf,True,82,2024 Impact Report,2024,2024 Impact Report Introduction Principles Planet People Appendix Table of Contents Introduction A Letter from Our Chairman & CEO 4 A Message from Our Lead Independent Director 5 Who We Are 6 Our Approach to Responsible Business Growth 7 Our Stakeholders 8 2024 Highlights 9 Spotlight Stories 10 Principles Governance 14 Board of Directors and Board Committees 14 Board Leadership Structure 15 Board Composition and Inde,6107644,5.82,,C:\Users\Jhj\Downloads\esg_reports\PFE\PFE_ESG_2024.pdf
PG,ESG / Sustainability,2022,2022,PG\PG_ESG_2022.pdf,PG_ESG_2022.pdf,True,42,2022_Citizenship_Report,2022,"2022 CITIZENSHIP REPORT INTRODUCTIONINTRODUCTION COMMUNITY IMPACT EQUALITY & INCLUSION ENVIRONMENTAL SUSTAINABILITY ETHICS & CORPORATE RESPONSIBILITY RECOGNITIONS & AWARDS DELIVERING FOR ALL OUR STAKEHOLDERS DEAR STAKEHOLDERS, We have been talking about the importance of balance for some time in the context of needing to deliver balanced growth and value creation. While that will always be an imperative, the world ne",21022461,20.05,,C:\Users\Jhj\Downloads\esg_reports\PG\PG_ESG_2022.pdf
PG,ESG / Sustainability,2023,2023,PG\PG_ESG_2023.pdf,PG_ESG_2023.pdf,True,83,2023 Citizenship Report,2022;2023,"2023 CITIZENSHIP REPORT The information in this report covers the period of July 1, 2022 to June 30, 2023. Jon R. Moeller Chairman of the Board, President and Chief Executive Officer Delivering For All Our Stakeholders P&G’s objective is to deliver balanced top- and bottom-line growth while serving the needs of all stakeholders – consumers, customers, employees, society and shareowners. We take an integrated approach",34456471,32.86,,C:\Users\Jhj\Downloads\esg_reports\PG\PG_ESG_2023.pdf
PG,ESG / Sustainability,2024,2024,PG\PG_ESG_2024.pdf,PG_ESG_2024.pdf,True,19,,2023;2024,"The information in this report covers the period of July 1, 2023 to June 30, 2024. Citizenship Summary Fiscal Year 2024 I want to share perspective on P&G’s Citizenship work—why we do it and why it is important. We see success in Citizenship as an opportunity to create competitive advantage that drives shareholder value. P&G’s ability to grow is directly connected to our commitment to responsible business and doing g",1106179,1.05,,C:\Users\Jhj\Downloads\esg_reports\PG\PG_ESG_2024.pdf
UNH,ESG / Sustainability,2022,2022,UNH\UNH_ESG_2022.pdf,UNH_ESG_2022.pdf,True,90,,2022,"Our Mission in Action 2022 Sustainability Report Introduction Our people and cultureHealthy environment 2 2022 Sustainability Report A modern, high-performing health system Responsible business practices Performance data Introduction A message from our Chief Executive Officer (CEO) A message from our Chief Sustainability Officer (CSO) About UnitedHealth Group Sustainability at UnitedHealth Group 2022 sustainability h",10579880,10.09,,C:\Users\Jhj\Downloads\esg_reports\UNH\UNH_ESG_2022.pdf
UNH,ESG / Sustainability,2023,2023,UNH\UNH_ESG_2023.pdf,UNH_ESG_2023.pdf,True,93,,2023,"Our Mission in Action 2023 Sustainability Report Marie Kharifene, a community health worker at Optum, connects patients to the support they need. Introduction A modern, high-performing health system Healthy environment Our people and culture 22023 Sustainability Report Responsible business practices Performance data Marie Kharifene As a community volunteer coordinator at WellMed, Marie visits the homes of patients in",9563767,9.12,,C:\Users\Jhj\Downloads\esg_reports\UNH\UNH_ESG_2023.pdf
UNH,ESG / Sustainability,2024,2024,UNH\UNH_ESG_2024.pdf,UNH_ESG_2024.pdf,True,87,2024-sustainability-report,2024,"2024 Sustainability Report Our Mission in Action Contents Introduction 3 Welcome 4 About UnitedHealth Group 5 Sustainability at UnitedHealth Group 7 2024 sustainability highlights Building a modern, high-performing health system 11 Helping people live healthier lives 23 Helping the health system work better for everyone Healthy environment 33 Creating a healthier planet for a healthier society 34 Decarbonizing our op",9648075,9.2,,C:\Users\Jhj\Downloads\esg_reports\UNH\UNH_ESG_2024.pdf
WMT,ESG / Sustainability,2022,2022,WMT\WMT_ESG_2022.pdf,WMT_ESG_2022.pdf,True,50,Walmart FY2022 ESG Summary,2022,"Environmental, Social and Governance Summary Report FY2022 Contents INTRODUCTION 3 About our reporting 4 Year at a glance FY2022 6 Leadership letters 8 Our company 10 Our approach to ESG 12 OPPORTUNITY 1 5 Human capital: Good jobs & advancement for associates 16 Equity & inclusion at Walmart and beyond 20 Supplier opportunity 23 SUSTAINABILITY 2 4 Product supply chain sustainability 25 Climate change 27 Waste: Circul",10711338,10.22,,C:\Users\Jhj\Downloads\esg_reports\WMT\WMT_ESG_2022.pdf
WMT,ESG / Sustainability,2023,2023,WMT\WMT_ESG_2023.pdf,WMT_ESG_2023.pdf,True,43,FY2023 Walmart ESG Highlights,2023,"Environmental, Social, and Governance Highlights FY2023 FY2023 ESG Highlights Contents ESG REPORTING SOURCES ESG Issue Briefs ESG Reporting Data INTRODUCTION 4 Leadership Letters 6 Awards & Recognition 7 Our Company 8 Our Approach to ESG OPPORTUNITY 11 Opportunity Highlights 12 Human Capital: Good Jobs & Advancement for Associates 13 Human Capital Spotlight 14 Equity & Inclusion at Walmart & Beyond 15 Supplier Opport",4700060,4.48,,C:\Users\Jhj\Downloads\esg_reports\WMT\WMT_ESG_2023.pdf
WMT,ESG / Sustainability,2024,2024,WMT\WMT_ESG_2024.pdf,WMT_ESG_2024.pdf,True,132,,,,101968027,97.24,,C:\Users\Jhj\Downloads\esg_reports\WMT\WMT_ESG_2024.pdf
WMT,ESG / Sustainability,2025,2025,WMT\WMT_ESG_2025.pdf,WMT_ESG_2025.pdf,True,113,Walmart Inc. FY2025 ESG Report,2025,"Delivering Shared Value FY2025 ESG Report INTRODUCTION OPPORTUNITY SUSTAINABILITY COMMUNITY ETHICS & INTEGRITY APPENDIX Walmart’s Shared Value Priorities Table of Contents Introduction 3 Our Company 4 A Message From Our CSO 5 Our Shared Value Approach 7 About Our Reporting Opportunity 10 Our People 22 Supplier Opportunity Sustainability 26 Climate Resilience, Energy, and Emissions 37 Regeneration of Natural Resources",21725562,20.72,,C:\Users\Jhj\Downloads\esg_reports\WMT\WMT_ESG_2025.pdf
XOM,ESG / Sustainability,2022,2022,XOM\XOM_ESG_2022.pdf,XOM_ESG_2022.pdf,True,84,Sustainability Report 2022,2021;2022,ExxonMobil Sustainability Report 1 Sustainability Report Published December 2022 ExxonMobil Sustainability Report 2 Table of contents Introduction .............................................................................................................. 3 Strategic priorities and organization .........................................................................................3 Highlighting 2021 performance .,13937352,13.29,,C:\Users\Jhj\Downloads\esg_reports\XOM\XOM_ESG_2022.pdf
XOM,ESG / Sustainability,2023,2023,XOM\XOM_ESG_2023.pdf,XOM_ESG_2023.pdf,True,12,Executive Summary Sustainability Report,2023;2024,"Executive Summary 2023 Sustainability Report Published January 8, 2024 | 2023 Sustainability Report | Executive Summary 2 “I think every piece of this business is exciting. The way that we approach our business, the ethics that we bring, the standards that we hold ourselves to … we do things the right way for the right reasons, and I love that about our company.” – Darren Woods",6903378,6.58,,C:\Users\Jhj\Downloads\esg_reports\XOM\XOM_ESG_2023.pdf
XOM,Advancing Climate Solutions,2024,2024,XOM\XOM_ESG_2024.pdf,XOM_ESG_2024.pdf,True,81,Advancing Climate Solutions Report,2024;2050,"Executive Summary 2024 Advancing Climate Solutions Published January 8, 2024 | 2024 Advancing Climate Solutions | Executive Summary 2 2050 net-zero ambition With advancements in technology and clear and consistent government policies that support needed investments and the development of market-driven mechanisms, we aim to achieve net-zero Scope 1 and 2 greenhouse gas emissions in our operated assets by 2050. ExxonMo",15549568,14.83,,C:\Users\Jhj\Downloads\esg_reports\XOM\XOM_ESG_2024.pdf
XOM,ESG / Sustainability,2025,2025,XOM\XOM_ESG_2025.pdf,XOM_ESG_2025.pdf,True,72,Sustainability Report 2025,2025;2050,Our view to 2050 2025 Sustainability Report April 2025 ExxonMobil | 2025 Sustainability Report 1 Contents Executive summary . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 02 Our appr oach to sustainability Integrating sustainability into what we do . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 09 Pursuing environm,12535405,11.95,,C:\Users\Jhj\Downloads\esg_reports\XOM\XOM_ESG_2025.pdf
